,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,kfold
4277,DRE49,20.75,Low Fat,0.0,Soft Drinks,153.0024,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,0
4278,NCH29,5.51,Low Fat,0.034543718,Health and Hygiene,99.7726,OUT045,2002,,Tier 2,Supermarket Type1,978.7260000000001,2
4279,FDZ28,20.0,Regular,0.051702257,Frozen Foods,125.8678,OUT018,2009,Medium,Tier 3,Supermarket Type2,763.0068,0
4280,FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,2
4281,FDR59,14.5,Regular,0.064224789,Breads,262.7594,OUT017,2007,,Tier 2,Supermarket Type1,7064.8038,1
4282,NCT41,15.7,LF,0.055943697,Health and Hygiene,150.6024,OUT013,1987,High,Tier 3,Supermarket Type1,2428.8384,1
4283,FDN48,13.35,Low Fat,0.065215312,Baking Goods,93.4804,OUT018,2009,Medium,Tier 3,Supermarket Type2,1102.5648,3
4284,FDZ20,,Low Fat,0.0,Fruits and Vegetables,253.0356,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445.101999999999,4
4285,FDF11,10.195,reg,0.017703043999999998,Starchy Foods,239.4538,OUT018,2009,Medium,Tier 3,Supermarket Type2,3605.3070000000002,1
4286,FDU13,,low fat,0.328390948,Canned,146.0418,OUT019,1985,Small,Tier 1,Grocery Store,588.5672,3
4287,FDQ03,15.0,Regular,0.0,Meat,235.6248,OUT049,1999,Medium,Tier 1,Supermarket Type1,1896.1984,0
4288,FDS14,7.285,Low Fat,0.0,Dairy,155.1288,OUT017,2007,,Tier 2,Supermarket Type1,1414.1592,0
4289,FDY55,,LF,0.0,Fruits and Vegetables,258.3988,OUT019,1985,Small,Tier 1,Grocery Store,256.9988,0
4290,DRN59,,Low Fat,0.06383101299999999,Hard Drinks,46.206,OUT027,1985,Medium,Tier 3,Supermarket Type3,1304.968,4
4291,FDW40,14.0,Regular,0.105125569,Frozen Foods,143.2812,OUT035,2004,Small,Tier 2,Supermarket Type1,3277.0676,4
4292,DRF36,16.1,Low Fat,0.023673342000000003,Soft Drinks,189.0846,OUT018,2009,Medium,Tier 3,Supermarket Type2,5350.3688,1
4293,FDF20,12.85,low fat,0.033287541000000004,Fruits and Vegetables,198.4768,OUT045,2002,,Tier 2,Supermarket Type1,1379.5376,0
4294,NCZ41,19.85,Low Fat,0.06478563,Health and Hygiene,123.7704,OUT017,2007,,Tier 2,Supermarket Type1,2503.408,2
4295,NCM17,7.93,Low Fat,0.07142564700000001,Health and Hygiene,45.9086,OUT018,2009,Medium,Tier 3,Supermarket Type2,1070.6064,2
4296,FDS35,9.3,Low Fat,0.11184963,Breads,64.6826,OUT017,2007,,Tier 2,Supermarket Type1,774.9912,0
4297,FDT34,9.3,Low Fat,0.174621343,Snack Foods,104.2964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1998.7316,4
4298,FDE22,,Low Fat,0.051778173,Snack Foods,157.892,OUT019,1985,Small,Tier 1,Grocery Store,319.584,0
4299,FDO15,,Regular,0.014998913999999999,Meat,72.4038,OUT019,1985,Small,Tier 1,Grocery Store,221.7114,0
4300,FDQ26,,Regular,0.067543727,Dairy,57.2562,OUT027,1985,Medium,Tier 3,Supermarket Type3,2073.967,1
4301,NCG42,19.2,Low Fat,0.041227831,Household,129.83100000000002,OUT046,1997,Small,Tier 1,Supermarket Type1,1947.465,1
4302,FDG31,12.15,Low Fat,0.063430788,Meat,65.4826,OUT010,1998,,Tier 3,Grocery Store,258.3304,3
4303,FDQ28,,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584,4
4304,DRF36,16.1,Low Fat,0.039463564,Soft Drinks,189.9846,OUT010,1998,,Tier 3,Grocery Store,191.0846,3
4305,NCB54,8.76,Low Fat,0.050011058,Health and Hygiene,126.7336,OUT013,1987,High,Tier 3,Supermarket Type1,639.168,0
4306,FDR32,6.78,Regular,0.0,Fruits and Vegetables,227.5694,OUT049,1999,Medium,Tier 1,Supermarket Type1,3653.9104,4
4307,DRI03,6.03,Low Fat,0.022703692999999997,Dairy,177.9028,OUT046,1997,Small,Tier 1,Supermarket Type1,4781.7756,1
4308,DRL60,8.52,Low Fat,0.027169588999999997,Soft Drinks,151.0682,OUT018,2009,Medium,Tier 3,Supermarket Type2,1829.6184,0
4309,FDF40,,Regular,0.03941584,Dairy,247.8092,OUT019,1985,Small,Tier 1,Grocery Store,498.0184,3
4310,FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.9488,3
4311,FDM10,18.25,Low Fat,0.07608971099999999,Snack Foods,212.9218,OUT049,1999,Medium,Tier 1,Supermarket Type1,3846.9924,2
4312,FDA26,7.855,Regular,0.07390646099999999,Dairy,218.4482,OUT035,2004,Small,Tier 2,Supermarket Type1,4819.0604,2
4313,FDB17,13.15,Low Fat,0.036879538999999996,Frozen Foods,181.3976,OUT017,2007,,Tier 2,Supermarket Type1,3078.6592,3
4314,NCV29,11.8,Low Fat,0.022879017,Health and Hygiene,176.0686,OUT049,1999,Medium,Tier 1,Supermarket Type1,533.3058,3
4315,FDT32,,Regular,0.065316099,Fruits and Vegetables,189.9214,OUT027,1985,Medium,Tier 3,Supermarket Type3,5087.3778,2
4316,DRJ01,6.135,low fat,0.11550099900000001,Soft Drinks,161.1236,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,2
4317,FDJ07,7.26,Low Fat,0.014482278000000001,Meat,118.115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.24,2
4318,NCM07,,Low Fat,0.06996801799999999,Others,83.9908,OUT019,1985,Small,Tier 1,Grocery Store,167.7816,0
4319,FDI28,14.3,Low Fat,0.026375082,Frozen Foods,79.6302,OUT045,2002,,Tier 2,Supermarket Type1,792.302,3
4320,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,,Tier 2,Supermarket Type1,2117.244,0
4321,FDW23,5.765,Low Fat,0.082178616,Baking Goods,37.0164,OUT045,2002,,Tier 2,Supermarket Type1,540.6296,0
4322,DRK01,7.63,Low Fat,0.06105276,Soft Drinks,95.4436,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154,0
4323,DRD01,12.1,Regular,0.061521569000000005,Soft Drinks,55.8614,OUT017,2007,,Tier 2,Supermarket Type1,1436.7964,1
4324,DRM48,15.2,Low Fat,0.113072194,Soft Drinks,35.8848,OUT049,1999,Medium,Tier 1,Supermarket Type1,596.5568,0
4325,FDS14,7.285,Low Fat,0.049922304,Dairy,156.9288,OUT013,1987,High,Tier 3,Supermarket Type1,1571.2879999999998,1
4326,FDI56,7.325,Low Fat,0.09330766800000001,Fruits and Vegetables,92.7146,OUT013,1987,High,Tier 3,Supermarket Type1,2006.7212,1
4327,FDL45,15.6,Low Fat,0.037901015,Snack Foods,124.1704,OUT017,2007,,Tier 2,Supermarket Type1,1877.556,1
4328,FDB26,14.0,Regular,0.031330907000000005,Canned,52.364,OUT045,2002,,Tier 2,Supermarket Type1,745.696,4
4329,FDT26,18.85,Regular,0.068059156,Dairy,120.344,OUT049,1999,Medium,Tier 1,Supermarket Type1,1797.66,0
4330,NCS42,8.6,Low Fat,0.069809115,Household,90.5146,OUT017,2007,,Tier 2,Supermarket Type1,729.7168,0
4331,DRE60,9.395,Low Fat,0.160235723,Soft Drinks,227.872,OUT017,2007,,Tier 2,Supermarket Type1,1584.604,0
4332,FDO20,12.85,Regular,0.152001201,Fruits and Vegetables,252.3382,OUT013,1987,High,Tier 3,Supermarket Type1,6056.1168,2
4333,FDB33,17.75,Low Fat,0.014609738,Fruits and Vegetables,160.4262,OUT045,2002,,Tier 2,Supermarket Type1,3182.5240000000003,3
4334,DRI51,17.25,Low Fat,0.042233642,Dairy,173.3764,OUT035,2004,Small,Tier 2,Supermarket Type1,2061.3168,3
4335,NCV54,,Low Fat,0.03294861,Household,116.8124,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488.7604,0
4336,FDT46,11.35,Low Fat,0.030981392000000003,Snack Foods,51.9008,OUT017,2007,,Tier 2,Supermarket Type1,708.4112,0
4337,FDS13,6.465,Low Fat,0.124402507,Canned,266.1884,OUT013,1987,High,Tier 3,Supermarket Type1,5299.768,0
4338,NCJ30,5.82,Low Fat,0.08062523,Household,168.37900000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.453,0
4339,NCL18,18.85,Low Fat,0.167844438,Household,193.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,3110.6176,2
4340,NCH18,9.3,Low Fat,0.044843161,Household,246.1802,OUT018,2009,Medium,Tier 3,Supermarket Type2,2702.4822,3
4341,FDJ14,10.3,Regular,0.050353695,Canned,78.696,OUT017,2007,,Tier 2,Supermarket Type1,1757.7120000000002,0
4342,FDH57,10.895,Low Fat,0.059834024000000006,Fruits and Vegetables,133.5284,OUT010,1998,,Tier 3,Grocery Store,263.6568,3
4343,NCV41,14.35,Low Fat,0.017073332,Health and Hygiene,109.5228,OUT045,2002,,Tier 2,Supermarket Type1,1657.842,3
4344,FDC21,14.6,Regular,0.043133816,Fruits and Vegetables,109.7254,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.1524,3
4345,FDT12,6.215,Regular,0.049902382,Baking Goods,225.8062,OUT017,2007,,Tier 2,Supermarket Type1,3159.8868,2
4346,FDN22,18.85,Regular,0.138868769,Snack Foods,251.8724,OUT018,2009,Medium,Tier 3,Supermarket Type2,3271.7412,1
4347,FDT15,12.15,Regular,0.042855388,Meat,181.695,OUT018,2009,Medium,Tier 3,Supermarket Type2,2929.52,4
4348,FDG35,,Regular,0.012327847,Starchy Foods,173.8738,OUT019,1985,Small,Tier 1,Grocery Store,347.5476,0
4349,DRI47,14.7,Low Fat,0.020920179,Hard Drinks,143.8128,OUT046,1997,Small,Tier 1,Supermarket Type1,3020.0688,4
4350,DRC25,,Low Fat,0.079440262,Soft Drinks,86.7882,OUT019,1985,Small,Tier 1,Grocery Store,85.8882,4
4351,FDF24,,Regular,0.02524761,Baking Goods,81.9934,OUT027,1985,Medium,Tier 3,Supermarket Type3,3439.5228,3
4352,FDG35,,reg,0.007006883,Starchy Foods,173.5738,OUT027,1985,Medium,Tier 3,Supermarket Type3,1216.4166,1
4353,FDO13,7.865,Low Fat,0.061405050999999995,Breakfast,166.3526,OUT017,2007,,Tier 2,Supermarket Type1,1973.4312,1
4354,FDR44,6.11,Regular,0.103080901,Fruits and Vegetables,131.2968,OUT049,1999,Medium,Tier 1,Supermarket Type1,1957.4520000000002,0
4355,NCX05,15.2,LF,0.09745748300000001,Health and Hygiene,114.4492,OUT018,2009,Medium,Tier 3,Supermarket Type2,579.246,1
4356,FDL57,15.1,Regular,0.067212845,Snack Foods,260.2304,OUT045,2002,,Tier 2,Supermarket Type1,4908.2776,2
4357,FDE59,12.15,Low Fat,0.06227604,Starchy Foods,37.9532,OUT035,2004,Small,Tier 2,Supermarket Type1,1078.596,3
4358,FDL38,13.8,reg,0.014730321999999999,Canned,90.9172,OUT035,2004,Small,Tier 2,Supermarket Type1,2141.2128,2
4359,FDS03,,Low Fat,0.079243005,Meat,65.8826,OUT027,1985,Medium,Tier 3,Supermarket Type3,1614.565,4
4360,FDD59,10.5,Regular,0.0,Starchy Foods,78.296,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,3
4361,NCS38,,Low Fat,0.0,Household,115.2176,OUT027,1985,Medium,Tier 3,Supermarket Type3,1030.6584,0
4362,FDC41,15.6,Low Fat,0.195688803,Frozen Foods,77.367,OUT010,1998,,Tier 3,Grocery Store,153.134,1
4363,NCJ17,7.68,Low Fat,0.153419412,Health and Hygiene,86.4224,OUT017,2007,,Tier 2,Supermarket Type1,511.3344,3
4364,FDV20,20.2,Regular,0.060045008,Fruits and Vegetables,128.3678,OUT018,2009,Medium,Tier 3,Supermarket Type2,1398.8458,0
4365,NCN53,,Low Fat,0.030208465,Health and Hygiene,35.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,1693.7952,3
4366,FDJ44,12.3,Regular,0.106492562,Fruits and Vegetables,176.3396,OUT049,1999,Medium,Tier 1,Supermarket Type1,1395.5168,3
4367,FDQ12,12.65,Low Fat,0.035404052000000005,Baking Goods,230.601,OUT035,2004,Small,Tier 2,Supermarket Type1,2067.3089999999997,0
4368,FDA34,11.5,Low Fat,0.01484819,Starchy Foods,172.108,OUT013,1987,High,Tier 3,Supermarket Type1,2077.2960000000003,4
4369,FDU57,8.27,reg,0.089554186,Snack Foods,150.8708,OUT046,1997,Small,Tier 1,Supermarket Type1,2407.5328,0
4370,FDY03,17.6,Regular,0.076121831,Meat,111.7202,OUT046,1997,Small,Tier 1,Supermarket Type1,1125.202,4
4371,FDI50,8.42,Regular,0.030968306,Canned,227.8352,OUT018,2009,Medium,Tier 3,Supermarket Type2,3435.528,4
4372,FDX32,,Regular,0.1748389,Fruits and Vegetables,142.8786,OUT019,1985,Small,Tier 1,Grocery Store,433.4358,4
4373,DRJ51,14.1,Low Fat,0.08849163,Dairy,231.1668,OUT017,2007,,Tier 2,Supermarket Type1,7602.1044,4
4374,FDU51,20.2,Regular,0.096906831,Meat,175.5028,OUT018,2009,Medium,Tier 3,Supermarket Type2,6729.9064,2
4375,NCG55,16.25,Low Fat,0.039113587000000005,Household,116.0176,OUT013,1987,High,Tier 3,Supermarket Type1,1488.7288,3
4376,DRL47,,Low Fat,0.038549197,Hard Drinks,127.5362,OUT027,1985,Medium,Tier 3,Supermarket Type3,1006.6896,1
4377,FDK51,19.85,Low Fat,0.005234153,Dairy,264.0884,OUT035,2004,Small,Tier 2,Supermarket Type1,5829.7448,3
4378,FDZ44,,Low Fat,0.06780958,Fruits and Vegetables,118.1808,OUT019,1985,Small,Tier 1,Grocery Store,234.3616,3
4379,FDK10,5.785,Regular,0.040325274,Snack Foods,180.46599999999998,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,3
4380,FDT27,11.395,Regular,0.06958717099999999,Meat,234.6616,OUT046,1997,Small,Tier 1,Supermarket Type1,4687.232,1
4381,FDL22,16.85,Low Fat,0.036359891,Snack Foods,90.7488,OUT013,1987,High,Tier 3,Supermarket Type1,2263.72,2
4382,NCA54,16.5,Low Fat,0.036715907,Household,180.0318,OUT045,2002,,Tier 2,Supermarket Type1,3969.4996,4
4383,FDA14,16.1,Low Fat,0.065183228,Dairy,148.076,OUT046,1997,Small,Tier 1,Supermarket Type1,1464.76,4
4384,FDC14,14.5,Regular,0.041249072000000005,Canned,40.5454,OUT046,1997,Small,Tier 1,Supermarket Type1,1216.4166,2
4385,FDY31,5.98,Low Fat,0.043651197999999995,Fruits and Vegetables,146.1418,OUT045,2002,,Tier 2,Supermarket Type1,3089.9778,0
4386,FDF58,,Low Fat,0.009534758,Snack Foods,64.551,OUT027,1985,Medium,Tier 3,Supermarket Type3,1201.769,4
4387,DRB25,12.3,Low Fat,0.069446588,Soft Drinks,106.3938,OUT035,2004,Small,Tier 2,Supermarket Type1,857.5504,4
4388,FDV03,17.6,Low Fat,0.058091269,Meat,156.2314,OUT046,1997,Small,Tier 1,Supermarket Type1,2947.4966,4
4389,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,3
4390,FDQ12,12.65,Low Fat,0.035482562,Baking Goods,231.40099999999998,OUT045,2002,,Tier 2,Supermarket Type1,2526.7110000000002,1
4391,FDU12,15.5,Regular,0.076059648,Baking Goods,265.1568,OUT018,2009,Medium,Tier 3,Supermarket Type2,2109.2544,4
4392,FDG26,18.85,Low Fat,0.042614360999999996,Canned,255.333,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,2
4393,FDW32,18.35,Regular,0.09448807099999999,Fruits and Vegetables,87.1882,OUT045,2002,,Tier 2,Supermarket Type1,515.3292,1
4394,DRF48,5.73,Low Fat,0.05190652,Soft Drinks,188.1898,OUT045,2002,,Tier 2,Supermarket Type1,1496.7184,3
4395,FDK41,14.3,Low Fat,0.12780038,Frozen Foods,83.6224,OUT045,2002,,Tier 2,Supermarket Type1,852.2239999999999,3
4396,FDJ04,18.0,Low Fat,0.12464553800000001,Frozen Foods,117.2124,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.2232,4
4397,FDW03,5.63,Regular,0.024579432000000002,Meat,105.3306,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.306,1
4398,FDF52,9.3,Low Fat,0.06688712299999999,Frozen Foods,183.9292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.7256,1
4399,FDH48,13.5,Low Fat,0.060603014000000004,Baking Goods,85.554,OUT045,2002,,Tier 2,Supermarket Type1,1731.08,1
4400,FDW31,11.35,reg,0.043402224,Fruits and Vegetables,197.0742,OUT017,2007,,Tier 2,Supermarket Type1,2587.9646,0
4401,FDA44,,Low Fat,0.052964982,Fruits and Vegetables,57.793,OUT027,1985,Medium,Tier 3,Supermarket Type3,1754.3829999999998,1
4402,FDD39,16.7,Low Fat,0.07044068,Dairy,216.885,OUT018,2009,Medium,Tier 3,Supermarket Type2,6275.165,2
4403,FDG02,7.855,Low Fat,0.011261165,Canned,189.5188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.1879999999999,4
4404,NCL29,9.695,Low Fat,0.113939434,Health and Hygiene,160.2604,OUT046,1997,Small,Tier 1,Supermarket Type1,1901.5248,1
4405,FDH41,9.0,Low Fat,0.08201152099999999,Frozen Foods,213.3534,OUT046,1997,Small,Tier 1,Supermarket Type1,1935.4806,3
4406,DRH25,18.7,Low Fat,0.014580886000000001,Soft Drinks,50.2324,OUT013,1987,High,Tier 3,Supermarket Type1,623.1888,4
4407,FDH33,,LF,0.213125482,Snack Foods,44.9428,OUT019,1985,Small,Tier 1,Grocery Store,175.7712,2
4408,FDC20,10.65,Low Fat,0.024020077999999997,Fruits and Vegetables,57.2272,OUT045,2002,,Tier 2,Supermarket Type1,1174.4712,3
4409,NCO29,,Low Fat,0.032099989,Health and Hygiene,164.1526,OUT027,1985,Medium,Tier 3,Supermarket Type3,2960.1468,2
4410,NCC18,19.1,Low Fat,0.177236497,Household,172.3422,OUT035,2004,Small,Tier 2,Supermarket Type1,2586.633,0
4411,FDR24,,Regular,0.062547321,Baking Goods,88.383,OUT027,1985,Medium,Tier 3,Supermarket Type3,2067.3089999999997,2
4412,FDS40,,Low Fat,0.013951503999999998,Frozen Foods,36.719,OUT027,1985,Medium,Tier 3,Supermarket Type3,622.523,0
4413,FDF41,12.15,Low Fat,0.13117981199999998,Frozen Foods,245.24599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,3202.498,4
4414,FDJ22,,Low Fat,0.052554508,Snack Foods,190.3504,OUT027,1985,Medium,Tier 3,Supermarket Type3,1917.504,2
4415,FDW32,18.35,Regular,0.094296835,Fruits and Vegetables,84.3882,OUT046,1997,Small,Tier 1,Supermarket Type1,1116.5466,0
4416,FDQ39,,Low Fat,0.080649685,Meat,189.9846,OUT027,1985,Medium,Tier 3,Supermarket Type3,6114.7072,3
4417,FDD17,7.5,Low Fat,0.032811503,Frozen Foods,239.6906,OUT017,2007,,Tier 2,Supermarket Type1,2614.5966,1
4418,FDG12,,Regular,0.0,Baking Goods,121.3098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,3
4419,FDE10,6.67,Regular,0.150554711,Snack Foods,130.0626,OUT010,1998,,Tier 3,Grocery Store,131.1626,3
4420,NCV54,11.1,Low Fat,0.033102681,Household,116.6124,OUT035,2004,Small,Tier 2,Supermarket Type1,1540.6612,0
4421,FDU58,6.61,Regular,0.029129907000000003,Snack Foods,188.4898,OUT018,2009,Medium,Tier 3,Supermarket Type2,4677.245,4
4422,FDG57,14.7,Low Fat,0.07229836,Fruits and Vegetables,48.2034,OUT046,1997,Small,Tier 1,Supermarket Type1,874.8612,3
4423,FDB02,,Regular,0.029023048,Canned,177.83700000000002,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606,4
4424,FDV60,,Regular,0.205484395,Baking Goods,198.011,OUT019,1985,Small,Tier 1,Grocery Store,392.82199999999995,4
4425,NCO17,10.0,Low Fat,0.073794811,Health and Hygiene,121.444,OUT017,2007,,Tier 2,Supermarket Type1,2516.724,2
4426,NCB54,8.76,Low Fat,0.050256604,Health and Hygiene,127.3336,OUT018,2009,Medium,Tier 3,Supermarket Type2,2684.5056,0
4427,FDT58,9.0,Low Fat,0.086440911,Snack Foods,167.0816,OUT017,2007,,Tier 2,Supermarket Type1,1342.2528,1
4428,FDQ31,,Regular,0.053586458,Fruits and Vegetables,89.7856,OUT027,1985,Medium,Tier 3,Supermarket Type3,966.7416,1
4429,FDX09,,Low Fat,0.064933297,Snack Foods,174.83700000000002,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.799,4
4430,FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.5152,2
4431,FDM32,20.5,Low Fat,0.020688968999999998,Fruits and Vegetables,88.18299999999999,OUT018,2009,Medium,Tier 3,Supermarket Type2,719.064,0
4432,NCL41,12.35,Low Fat,0.041729735,Health and Hygiene,36.3216,OUT035,2004,Small,Tier 2,Supermarket Type1,276.9728,3
4433,FDS47,16.75,Low Fat,0.128861359,Breads,86.2856,OUT035,2004,Small,Tier 2,Supermarket Type1,1406.1696,0
4434,FDE52,,Regular,0.02974207,Dairy,88.9514,OUT027,1985,Medium,Tier 3,Supermarket Type3,3453.5046,4
4435,FDU15,13.65,Regular,0.026643447999999997,Meat,37.9532,OUT049,1999,Medium,Tier 1,Supermarket Type1,862.8768,1
4436,FDD53,,Low Fat,0.077427883,Frozen Foods,41.8454,OUT019,1985,Small,Tier 1,Grocery Store,41.9454,0
4437,FDV16,7.75,Regular,0.08286168599999999,Frozen Foods,32.6558,OUT013,1987,High,Tier 3,Supermarket Type1,679.1160000000001,1
4438,DRG13,17.25,Low Fat,0.03717912,Soft Drinks,162.5526,OUT035,2004,Small,Tier 2,Supermarket Type1,5920.2936,1
4439,NCA42,6.965,Low Fat,0.0,Household,159.4604,OUT013,1987,High,Tier 3,Supermarket Type1,3169.208,2
4440,FDO57,20.75,Low Fat,0.108879177,Snack Foods,161.5578,OUT049,1999,Medium,Tier 1,Supermarket Type1,320.9156,4
4441,NCC07,19.6,Low Fat,0.023931217,Household,103.1964,OUT013,1987,High,Tier 3,Supermarket Type1,736.3748,1
4442,FDK57,,Low Fat,0.079904068,Snack Foods,120.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.228,1
4443,DRI47,14.7,Low Fat,0.035016091,Hard Drinks,144.3128,OUT010,1998,,Tier 3,Grocery Store,431.4384,0
4444,FDT44,16.6,Low Fat,0.10319540099999999,Fruits and Vegetables,117.8466,OUT045,2002,,Tier 2,Supermarket Type1,942.7728,0
4445,FDQ44,20.5,Low Fat,0.036133463,Fruits and Vegetables,120.1756,OUT035,2004,Small,Tier 2,Supermarket Type1,3392.9168,3
4446,FDO01,21.1,Regular,0.020750867,Breakfast,128.7994,OUT049,1999,Medium,Tier 1,Supermarket Type1,1927.491,2
4447,FDC58,10.195,Low Fat,0.04217956,Snack Foods,44.2428,OUT017,2007,,Tier 2,Supermarket Type1,703.0848,2
4448,FDZ48,17.75,Low Fat,0.07626905,Baking Goods,113.1544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.6896,0
4449,NCQ17,10.3,Low Fat,0.0,Health and Hygiene,154.66299999999998,OUT013,1987,High,Tier 3,Supermarket Type1,2816.3340000000003,3
4450,FDT32,19.0,Regular,0.066005186,Fruits and Vegetables,188.4214,OUT017,2007,,Tier 2,Supermarket Type1,2826.321,4
4451,FDV20,,Regular,0.10470453699999999,Fruits and Vegetables,125.2678,OUT019,1985,Small,Tier 1,Grocery Store,254.3356,0
4452,FDS21,19.85,Regular,0.020908608000000002,Snack Foods,63.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,557.2746,4
4453,FDC34,16.0,Regular,0.173109453,Snack Foods,155.2972,OUT045,2002,,Tier 2,Supermarket Type1,3894.93,2
4454,DRK13,11.8,Low Fat,0.11507174,Soft Drinks,198.2084,OUT013,1987,High,Tier 3,Supermarket Type1,3769.7596,3
4455,FDR40,9.1,Regular,0.008046878,Frozen Foods,78.7618,OUT049,1999,Medium,Tier 1,Supermarket Type1,402.809,2
4456,NCF18,,Low Fat,0.088551694,Household,191.5504,OUT027,1985,Medium,Tier 3,Supermarket Type3,5944.2624,3
4457,FDS32,17.75,Regular,0.029700017999999998,Fruits and Vegetables,140.3838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1404.838,0
4458,FDD44,8.05,Regular,0.078522357,Fruits and Vegetables,257.1646,OUT049,1999,Medium,Tier 1,Supermarket Type1,6183.9504,2
4459,FDV02,,Low Fat,0.060252433,Dairy,170.7106,OUT027,1985,Medium,Tier 3,Supermarket Type3,3079.9908,3
4460,NCX29,10.0,Low Fat,0.149223055,Health and Hygiene,145.8102,OUT010,1998,,Tier 3,Grocery Store,874.8612,1
4461,FDO45,13.15,Regular,0.03810738,Snack Foods,86.3856,OUT018,2009,Medium,Tier 3,Supermarket Type2,615.1992,4
4462,FDT02,12.6,Low Fat,0.024331586000000002,Dairy,34.9874,OUT017,2007,,Tier 2,Supermarket Type1,529.311,0
4463,FDB44,,Low Fat,0.016876708,Fruits and Vegetables,210.0586,OUT027,1985,Medium,Tier 3,Supermarket Type3,6964.9338,2
4464,FDG59,,Low Fat,0.043025207999999995,Starchy Foods,37.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,810.9444,4
4465,FDQ03,15.0,Regular,0.077999504,Meat,238.0248,OUT035,2004,Small,Tier 2,Supermarket Type1,1896.1984,1
4466,NCB07,19.2,Low Fat,0.077628053,Household,197.611,OUT049,1999,Medium,Tier 1,Supermarket Type1,3142.5759999999996,1
4467,NCQ42,20.35,Low Fat,0.0,Household,125.1678,OUT017,2007,,Tier 2,Supermarket Type1,1907.517,3
4468,NCP06,20.7,Low Fat,0.039467795,Household,151.7366,OUT017,2007,,Tier 2,Supermarket Type1,604.5464,4
4469,NCR30,,Low Fat,0.12429953099999999,Household,73.4696,OUT019,1985,Small,Tier 1,Grocery Store,298.2784,0
4470,NCD19,8.93,Low Fat,0.022059594,Household,56.0614,OUT010,1998,,Tier 3,Grocery Store,276.307,3
4471,FDX51,9.5,Regular,0.022093019,Meat,195.9452,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424,4
4472,FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744,4
4473,FDU46,,Regular,0.011072421,Snack Foods,85.354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2077.2960000000003,0
4474,FDC50,15.85,Low Fat,0.0,Canned,96.4094,OUT035,2004,Small,Tier 2,Supermarket Type1,1237.7222,0
4475,FDD56,15.2,Regular,0.10377827,Fruits and Vegetables,175.6054,OUT046,1997,Small,Tier 1,Supermarket Type1,2451.4756,4
4476,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,3
4477,FDB51,6.92,LF,0.038671588,Dairy,64.2852,OUT017,2007,,Tier 2,Supermarket Type1,438.0964,0
4478,NCU42,9.0,Low Fat,0.019616991,Household,169.6474,OUT017,2007,,Tier 2,Supermarket Type1,2526.7110000000002,1
